"cylinders","displacement","horsepower","weight","acceleration","year","origin","mileage"
8,307,130,3504,12,70,1,"0"
8,350,165,3693,11.5,70,1,"0"
8,318,150,3436,11,70,1,"0"
8,304,150,3433,12,70,1,"0"
8,302,140,3449,10.5,70,1,"0"
8,429,198,4341,10,70,1,"0"
8,454,220,4354,9,70,1,"0"
8,455,225,4425,10,70,1,"0"
8,390,190,3850,8.5,70,1,"0"
8,400,150,3761,9.5,70,1,"0"
8,455,225,3086,10,70,1,"0"
4,113,95,2372,15,70,3,"1"
6,199,97,2774,15.5,70,1,"0"
6,200,85,2587,16,70,1,"0"
4,97,88,2130,14.5,70,3,"1"
4,104,95,2375,17.5,70,2,"1"
4,121,113,2234,12.5,70,2,"1"
6,199,90,2648,15,70,1,"0"
8,360,215,4615,14,70,1,"0"
8,307,200,4376,15,70,1,"0"
8,304,193,4732,18.5,70,1,"0"
4,140,90,2264,15.5,71,1,"1"
4,113,95,2228,14,71,3,"1"
6,232,100,2634,13,71,1,"0"
6,225,105,3439,15.5,71,1,"0"
6,250,100,3329,15.5,71,1,"0"
6,250,88,3302,15.5,71,1,"0"
8,350,165,4209,12,71,1,"0"
8,351,153,4154,13.5,71,1,"0"
8,383,180,4955,11.5,71,1,"0"
8,400,170,4746,12,71,1,"0"
8,400,175,5140,12,71,1,"0"
6,258,110,2962,13.5,71,1,"0"
6,250,100,3282,15,71,1,"0"
6,250,88,3139,14.5,71,1,"0"
4,122,86,2220,14,71,1,"1"
4,116,90,2123,14,71,2,"1"
4,79,70,2074,19.5,71,2,"1"
4,88,76,2065,14.5,71,2,"1"
4,71,65,1773,19,71,3,"1"
4,97,54,2254,23.5,72,2,"1"
4,140,90,2408,19.5,72,1,"0"
4,122,86,2226,16.5,72,1,"0"
8,350,165,4274,12,72,1,"0"
8,318,150,4135,13.5,72,1,"0"
8,351,153,4129,13,72,1,"0"
8,304,150,3672,11.5,72,1,"0"
8,429,208,4633,11,72,1,"0"
8,350,155,4502,13.5,72,1,"0"
8,350,160,4456,13.5,72,1,"0"
8,400,190,4422,12.5,72,1,"0"
8,304,150,3892,12.5,72,1,"0"
8,307,130,4098,14,72,1,"0"
8,318,150,4077,14,72,1,"0"
4,121,112,2933,14.5,72,2,"0"
4,121,76,2511,18,72,2,"0"
4,120,87,2979,19.5,72,2,"0"
4,96,69,2189,18,72,2,"1"
4,122,86,2395,16,72,1,"0"
4,97,92,2288,17,72,3,"1"
4,120,97,2506,14.5,72,3,"1"
4,98,80,2164,15,72,1,"1"
4,97,88,2100,16.5,72,3,"1"
8,350,175,4100,13,73,1,"0"
8,304,150,3672,11.5,73,1,"0"
8,350,145,3988,13,73,1,"0"
8,302,137,4042,14.5,73,1,"0"
8,318,150,3777,12.5,73,1,"0"
8,400,150,4464,12,73,1,"0"
8,351,158,4363,13,73,1,"0"
8,318,150,4237,14.5,73,1,"0"
8,440,215,4735,11,73,1,"0"
8,455,225,4951,11,73,1,"0"
6,225,105,3121,16.5,73,1,"0"
6,232,100,2945,16,73,1,"0"
6,198,95,2904,16,73,1,"1"
4,97,46,1950,21,73,2,"1"
8,400,150,4997,14,73,1,"0"
8,400,167,4906,12.5,73,1,"0"
8,350,180,4499,12.5,73,1,"0"
4,97,88,2279,19,73,3,"0"
4,140,72,2401,19.5,73,1,"0"
4,108,94,2379,16.5,73,3,"0"
3,70,90,2124,13.5,73,3,"0"
4,122,85,2310,18.5,73,1,"0"
4,98,90,2265,15.5,73,2,"1"
8,400,230,4278,9.5,73,1,"0"
4,68,49,1867,19.5,73,2,"1"
4,116,75,2158,15.5,73,2,"1"
4,114,91,2582,14,73,2,"0"
4,121,112,2868,15.5,73,2,"0"
8,318,150,3399,11,73,1,"0"
6,198,95,3102,16.5,74,1,"0"
6,232,100,2901,16,74,1,"0"
6,250,100,3336,17,74,1,"0"
4,79,67,1950,19,74,3,"1"
4,122,80,2451,16.5,74,1,"1"
4,71,65,1836,21,74,3,"1"
6,250,100,3781,17,74,1,"0"
6,225,105,3613,16.5,74,1,"0"
8,302,140,4141,14,74,1,"0"
8,350,150,4699,14.5,74,1,"0"
8,318,150,4457,13.5,74,1,"0"
8,302,140,4638,16,74,1,"0"
4,79,67,1963,15.5,74,2,"1"
4,97,78,2300,14.5,74,2,"1"
4,76,52,1649,16.5,74,3,"1"
4,108,93,2391,15.5,74,3,"1"
4,79,67,2000,16,74,2,"1"
6,225,95,3264,16,75,1,"0"
6,250,105,3459,16,75,1,"0"
6,250,72,3432,21,75,1,"0"
6,250,72,3158,19.5,75,1,"0"
8,318,150,4498,14.5,75,1,"0"
6,231,110,3907,21,75,1,"0"
6,258,110,3730,19,75,1,"0"
6,225,95,3785,19,75,1,"0"
6,231,110,3039,15,75,1,"0"
8,302,129,3169,12,75,1,"0"
4,97,75,2171,16,75,3,"1"
4,140,83,2639,17,75,1,"1"
6,232,100,2914,16,75,1,"0"
4,140,78,2592,18.5,75,1,"1"
4,90,71,2223,16.5,75,2,"1"
6,171,97,2984,14.5,75,1,"0"
4,90,70,1937,14,75,2,"1"
4,120,88,2957,17,75,2,"1"
4,121,98,2945,14.5,75,2,"0"
4,91,53,1795,17.5,75,3,"1"
4,98,79,2255,17.7,76,1,"1"
8,305,140,4215,13,76,1,"0"
8,318,150,4190,13,76,1,"0"
8,304,120,3962,13.9,76,1,"0"
6,225,100,3233,15.4,76,1,"0"
6,200,81,3012,17.6,76,1,"1"
4,85,52,2035,22.2,76,1,"1"
4,98,60,2164,22.1,76,1,"1"
4,90,70,1937,14.2,76,2,"1"
4,91,53,1795,17.4,76,3,"1"
6,250,110,3645,16.2,76,1,"0"
6,258,95,3193,17.8,76,1,"0"
4,85,70,1990,17,76,3,"1"
4,97,75,2155,16.4,76,3,"1"
4,140,72,2565,13.6,76,1,"1"
8,318,150,3940,13.2,76,1,"0"
6,156,108,2930,15.5,76,3,"0"
6,168,120,3820,16.7,76,2,"0"
8,350,145,4055,12,76,1,"0"
8,318,150,3755,14,76,1,"0"
4,98,68,2045,18.5,77,3,"1"
4,111,80,2155,14.8,77,1,"1"
